1987,12,3,"11,361,826",0,0,0,"11,361,826",0,0,0
1988,7,5,"2,182,675","355,000",0,"355,000","2,537,675","88,750",0,"88,750"
1989,19,16,"350,460","5,099,661",0,"5,099,661","5,450,121","50,000",0,"50,000"
1990,27,11,"10,327,500","903,158",0,"903,158","11,230,658","119,474",0,"119,474"
1991,19,12,"8,670,735","5,420,000",0,"5,420,000","14,090,735","861,401",0,"861,401"
1992,26,15,"9,821,640","2,192,478",0,"2,192,478","12,014,118","446,648",0,"446,648"
1993,22,38,"12,523,165","151,760,404",0,"151,760,404","164,283,569","22,946,101",0,"22,946,101"
1994,42,75,"381,470,015","6,280,815","240,000","6,520,815","387,990,830","1,113,597","72,000","1,185,597"
1995,26,87,"96,290,779","84,061,789","1,620,000","85,681,789","181,972,568","14,337,982","465,800","14,803,782"
1996,20,177,"63,059,873","49,236,698","2,340,000","51,576,698","114,636,572","8,707,168","667,400","9,374,568"
1997,48,269,"351,440,027","578,987,081","92,500","579,079,581","930,519,608","58,852,605","20,250","58,872,855"
1998,35,276,"40,107,920","251,824,167","2,526,075","254,350,242","294,458,162","46,863,357","187,015","47,050,372"
1999,27,315,"38,000,792","396,402,128","1,366,699","397,768,827","435,769,619","45,174,556","317,829","45,492,385"
2000,35,212,"208,899,015","723,152,746","333,457","723,486,203","932,385,218","115,397,403","87,343","115,484,746"
2001,34,181,"435,849,179","931,262,922","14,991,554","946,254,475","1,382,103,654","143,904,700","3,735,500","147,640,200"
2002,22,194,"74,454,427","937,841,186","23,407,571","961,248,757","1,035,703,184","150,280,717","4,008,686","154,289,403"
2003,26,215,"541,929,810","1,304,920,314","2,880,785","1,307,801,099","1,849,730,909","284,074,368","722,233","284,796,601"
2004,28,273,"34,816,447","470,335,081","5,775,062","476,110,142","510,926,589","95,920,149","1,625,129","97,545,278"
2005,34,270,"204,821,548","906,656,836","6,671,593","913,328,429","1,118,149,977","120,989,298","1,900,095","122,889,393"
2006,18,216,"1,050,520,714","1,227,114,221","16,229,540","1,243,343,761","2,293,864,475","163,167,984","3,921,996","167,089,981"
2007,25,199,"465,052,993","929,615,846","152,456,640","1,082,072,486","1,547,125,480","156,285,623","2,497,177","158,782,799"
2008,60,231,"162,972,022","962,461,088","6,852,571","969,313,659","1,132,285,682","185,933,162","1,522,164","187,455,327"
2009,34,279,"238,061,424","1,368,411,522","30,283,452","1,398,694,974","1,636,756,398","155,440,550","8,669,822","164,110,372"
2010,42,386,"546,963,732","1,955,805,336","16,366,232","1,972,171,568","2,519,135,301","335,084,132","4,639,804","339,723,936"
2011,38,417,"178,287,545","2,183,142,674","88,291,393","2,271,434,067","2,449,721,612","446,890,505","24,055,563","470,946,068"
2012,26,417,"557,273,967","2,510,255,899","37,838,668","2,548,094,567","3,105,368,534","281,818,575","10,598,793","292,417,368"
2013,27,504,"61,354,329","2,553,768,951","119,260,369","2,673,029,320","2,734,383,649","470,977,353","28,526,451","499,503,804"
2014,32,470,"88,054,490","2,278,174,137","66,322,326","2,344,496,462","2,432,550,952","383,908,380","10,877,186","394,785,566"
2015,26,426,"160,758,915","1,492,103,005","474,408,065","1,966,511,070","2,127,269,985","272,916,832","132,579,390","405,496,221"
2016,70,503,"97,354,415","2,552,004,363","75,145,688","2,627,150,052","2,724,504,467","463,973,837","20,481,847","484,455,684"
2017,55,495,"32,627,357","1,706,262,991","445,241,304","2,151,504,294","2,184,131,652","234,954,141","123,462,284","358,416,425"
2018,60,446,"568,069,015","1,864,452,427","80,834,205","1,945,286,632","2,513,355,647","244,377,541","22,259,609","266,637,149"
